quad_id_0based,face_id_1based,center_x,center_y,center_z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
2960,2961,1.689500185,1.87425417,1.1441787475,0.8832254692152761,0.5336199013642903,38,39,43,44,0.2472450235556485,0.28207635734428743,0.21985309958324703,0.25082551951681703
2961,2962,1.8983643975,1.93999845,1.10612741,0.945417348998484,0.5563095989422527,38,39,43,44,0.046213081528446415,0.1654525332800155,0.17211752247761777,0.6162168627139203
2962,2963,1.7712270325,1.7314321124999998,1.1925506575,0.9075606399654139,0.48432908409262254,33,34,38,39,0.081122128507492,0.1382706941957922,0.2886353116308523,0.4919718656658635
2963,2964,1.9821854549999998,1.802282035,1.1586781425,0.9703760964494929,0.5087808434692112,38,39,43,44,0.10392873404068392,0.7731394573903599,0.014566880161344659,0.10836492840761147
2964,2965,1.8493080124999999,1.5829845674999998,1.2341791075000001,0.9308102089719523,0.4330967958655559,33,34,38,39,0.2592250479374643,0.6774198099447537,0.017534116174726406,0.045821025943055635
2965,2966,2.0605874049999997,1.65606266,1.2058369825000002,0.9937212382083715,0.4583175423456964,33,34,38,39,0.014655996460056699,0.5688984107001941,0.010459050706457106,0.40598654213329216
3183,3184,-1.23778489,2.8315168025000004,1.00687345775,0.011590451916279606,0.8639908421382888,60,61,65,66,0.8622111918843643,0.04191701817959298,0.09142700045051717,0.004444789485525444
3184,3185,-1.2253108025000001,3.0478910800000003,1.016895905,0.015304764391927886,0.9386660370012504,65,66,70,71,0.8061081782190259,0.0525673037634688,0.1326727642132626,0.008651753804242747
3185,3186,-1.251524685,2.6147237425000003,0.9978299429999999,0.007499259515925613,0.7891711168572292,55,56,60,61,0.9230590516703345,0.02854531232845712,0.04694391026596299,0.0014517257352453352
3186,3187,-1.1291224949999998,2.62148863,1.07056102,0.04394601214321632,0.7915058180893961,55,56,60,61,0.7573873242923171,0.16153122245613705,0.06682862713481758,0.014252826116728234
3187,3188,-1.121269375,2.8395546075,1.07464671,0.046284374896304506,0.86676485327113,60,61,65,66,0.7050940468778619,0.16019800732631898,0.1097684535369201,0.024939492258899035
3188,3189,-0.98775954475,2.6359277375000003,1.1245334125,0.0860385635789851,0.7964890498240915,55,56,60,61,0.5569135808537439,0.29223972160897527,0.09893216483031576,0.0519145327069651
3189,3190,-0.9883017245,2.85462594,1.12247607,0.08587712291172438,0.8719662788023231,60,61,65,66,0.520251202134626,0.2722208946328498,0.13624030621847644,0.07128759701404767
3190,3191,-0.826125741,2.656814935,1.1549778275,0.1341670101491347,0.8036976494851747,55,56,60,61,0.3466802189866238,0.4015526882209295,0.11665174041683735,0.13511535237560934
3191,3192,-0.834652394,2.8754898925,1.1472583699999999,0.13162809468831047,0.8791668561378111,60,61,65,66,0.3274943487242937,0.36416966534635076,0.14599327252246444,0.16234271340689108
3192,3193,-0.64753381925,2.6827473075,1.1590338375,0.18734494424700263,0.8126474423721617,55,56,60,61,0.15612031081979755,0.4668154959699397,0.09449991219219195,0.2825642810180708
3193,3194,-0.6602152735,2.9013752975,1.1498262875,0.18356888577938815,0.888100439578577,60,61,65,66,0.1505578419746938,0.416036003925228,0.11516661490775358,0.3182395391923246
3194,3195,-0.46059943000000003,2.7120476974999996,1.1366778625,0.24300695031510006,0.8227596070808837,55,56,60,61,0.013464851456656293,0.46790064941097226,0.014507347282943481,0.504127151849428
3195,3196,-0.47454754275,2.930578175,1.12809801,0.23885372875087144,0.8981789507263344,60,61,65,66,0.018970716911694857,0.4065239729196248,0.0256143680848194,0.5488909420838609
3196,3197,-0.27283572,2.7430965300000003,1.0963033425,0.2989158968033316,0.833475195107307,56,57,61,62,0.266514673330104,0.06483259516759747,0.5378217394565696,0.13083099204572887
3197,3198,-0.28764319775,2.961138905,1.088724225,0.29450678877521247,0.9087260845828731,61,62,66,67,0.22837267398785258,0.04946214185192396,0.5936001709112976,0.1285650132489259
3198,3199,-0.08505437896500001,2.7751849875000003,1.0520443925,0.354830093148377,0.8445495790144439,56,57,61,62,0.10237724072006651,0.07392865307771876,0.47830238668642555,0.3453917195157892
