vertex_id_0based,vertex_id_1based,x,y,z,u,v,sensor_00,sensor_10,sensor_01,sensor_11,weight_00,weight_10,weight_01,weight_11
3973,3974,2.06941962,3.09227633,0.777106524,0.9963511385006464,0.953984295858481,68,69,73,74,0.009402676147627588,0.6348171818336386,0.0051927698497868805,0.350587372168947
3974,3975,1.40079021,2.70628953,0.902439535,0.7972585348013063,0.8207723455399825,58,59,63,64,0.41293340549400226,0.09625375694624283,0.3980324553007727,0.09278038225898222
3975,3976,1.20549715,2.68023539,0.914996326,0.7391076320466526,0.8117805281947489,57,58,62,63,0.027669777974920245,0.6074028272985956,0.015899693838469193,0.349027700888015
3976,3977,1.2560941,2.51107597,0.942814052,0.7541734941880522,0.7534001476922393,53,54,58,59,0.4448456117439413,0.007552320564707995,0.5384604115038497,0.009141656187500966
3977,3978,1.0104202,2.65016079,0.923895419,0.6810210786938381,0.8014011677579446,57,58,62,63,0.21532008991104673,0.5650635614777296,0.06059559531360087,0.15902075329762283
3978,3979,1.05910981,2.4734323,0.953021288,0.695519006967746,0.7404085461715502,52,53,57,58,0.13822489409953773,0.49605545949875995,0.0796990780294781,0.2860205683722242
3979,3980,1.11701441,2.30675006,0.994687974,0.7127608114826997,0.6828830912237229,47,48,52,53,0.06548685920802037,0.3741498636598591,0.08346989486118102,0.4768933822709395
3980,3981,0.862544894,2.43289971,0.960686505,0.6369893934971359,0.7264199191890729,52,53,57,58,0.375249970100176,0.45487116125280413,0.07679245591128038,0.09308641273573946
3981,3982,0.917880535,2.25963759,1.00077558,0.6534662589764183,0.6666236128865834,47,48,52,53,0.25765605337378983,0.4096133662140423,0.12847891072053694,0.20425166969163092
3982,3983,0.981306076,2.09407616,1.04471648,0.6723519913565259,0.6094849724257709,42,43,47,48,0.145111824373973,0.32209856166523443,0.1654802101999234,0.3673094037608692
3983,3984,1.1822654,2.14944291,1.04575908,0.7321900936811295,0.6285931718520121,42,43,47,48,0.014226239290841922,0.18546935478098822,0.05701338598463997,0.7432910199435299
3984,3985,1.04991341,1.9357152,1.09890366,0.6927806661270992,0.5548313616393145,37,38,42,43,0.053182152144244085,0.17917878490535374,0.1756951833473591,0.5919438796030431
