sensor_index,row,col,u,v,x,y,z,source_quad_id_0based,source_face_id_1based,triangle_slot,tri_v0_1based,tri_v1_1based,tri_v2_1based,bary_w0,bary_w1,bary_w2
63,12,3,0.75,0.8571428571428571,1.2420779039949996,2.8116745,0.9080554375719891,3228,3229,0,3964,3966,3975,0.6713442554173762,0.007075510818355716,0.32158023376426814
64,12,4,1.0,0.8571428571428571,2.08167389799,2.8116745,0.7341117504085111,3225,3226,0,3682,3685,3972,0.6375092794292052,0.08196092220770392,0.2805297983630909
65,13,0,0.0,0.9285714285714286,-1.27671007799,3.0186415600000003,0.9817149263828551,3184,3185,1,3934,3598,3597,0.6228845988545983,0.02742402144539546,0.34969137970000613
66,13,1,0.25,0.9285714285714286,-0.43711408399500007,3.0186415600000003,1.1175190593607554,3195,3196,1,3947,3608,3606,0.12970710853859146,0.724762129768723,0.14553076169268553
67,13,2,0.5,0.9285714285714286,0.4024819099999999,3.0186415600000003,0.9628013878533614,3205,3206,1,3618,3957,3616,0.1520337800683122,0.7395282008909098,0.10843801904077803
68,13,3,0.75,0.9285714285714286,1.2420779039949996,3.0186415600000003,0.9043737140533608,3212,3213,1,3965,3966,3967,0.4688120888176654,0.21405142137471272,0.31713648980762194
69,13,4,1.0,0.9285714285714286,2.08167389799,3.0186415600000003,0.7619874957033056,3220,3221,1,3681,3973,3974,0.4317192946999887,0.045094291761151824,0.5231864135388594
70,14,0,0.0,1.0,-1.27671007799,3.22560862,0.9866462717604452,3181,3182,0,3931,3597,3595,0.09705256122507827,0.5725949847734282,0.33035245400149355
71,14,1,0.25,1.0,-0.43711408399500007,3.22560862,1.1200306664784627,2862,2863,1,3607,3608,3609,0.24013310161930512,0.199514104773482,0.5603527936072129
72,14,2,0.5,1.0,0.4024819099999999,3.22560862,0.9612645491641535,2872,2873,0,3617,3616,3618,0.2172774145170124,0.5618936774329121,0.22082890805007552
73,14,3,0.75,1.0,1.2420779039949996,3.22560862,0.9022864914675423,3213,3214,1,3965,3630,3624,0.14467253942717548,0.6790128275939741,0.17631463297885044
74,14,4,1.0,1.0,2.08167389799,3.22560862,0.7751622565167615,3223,3224,1,3638,3974,3636,0.3441138033354946,0.2730922364015403,0.3827939602629652
